flying kite
cleaning gutters
using remote controller (not gaming)
bowling
high kick
folding paper
celebrating
climbing tree
changing oil
shoveling snow
moving furniture
hula hooping
trimming trees
playing organ
riding mule
peeling potatoes
tapping pen
cutting pineapple
wrestling
sword fighting
clean and jerk
holding snake
playing flute
skydiving
juggling soccer ball
bouncing on trampoline
waiting in line
massaging person's head
climbing ladder
skateboarding
using segway
writing
playing bass guitar
tango dancing
weaving basket
country line dancing
dancing charleston
drinking shots
shaking hands
parkour
decorating the christmas tree
shining shoes
gymnastics tumbling
tying bow tie
springboard diving
drumming fingers
punching person (boxing)
spray painting
marching
squat
peeling apples
playing piano
swimming breast stroke
plastering
smoking hookah
catching fish
canoeing or kayaking
bench pressing
folding napkins
ripping paper
unloading truck
water skiing
watering plants
massaging legs
planting trees
air drumming
triple jump
making a cake
golf putting
salsa dancing
tobogganing
contact juggling
washing hands
shot put
bookbinding
tasting food
playing harp
tapping guitar
giving or receiving award
eating spaghetti
answering questions
scrambling eggs
javelin throw
playing cymbals
front raises
arranging flowers
pumping gas
pushing wheelchair
headbutting
bending back
waxing back
blasting sand
counting money
grooming dog
hurling (sport)
snowmobiling
laughing
bungee jumping
playing trombone
blowing out candles
playing badminton
blowing glass
cartwheeling
punching bag
yoga
rock climbing
tasting beer
shaving legs
tying knot (not on a tie)
jumpstyle dancing
bee keeping
playing saxophone
waxing chest
egg hunting
dribbling basketball
somersaulting
feeding birds
situp
unboxing
golf chipping
training dog
doing aerobics
cutting watermelon
playing drums
ski jumping
bandaging
krumping
kitesurfing
checking tires
building shed
biking through snow
feeding goats
massaging back
juggling balls
doing laundry
testifying
making pizza
wrapping present
sailing
playing keyboard
barbequing
dancing ballet
mowing lawn
breakdancing
hopscotch
smoking
passing American football (in game)
dancing macarena
playing violin
clay pottery making
sharpening knives
texting
riding scooter
eating hotdog
snatch weight lifting
crawling baby
headbanging
golf driving
swing dancing
brush painting
drop kicking
brushing teeth
shearing sheep
playing basketball
throwing discus
playing guitar
high jump
playing poker
sneezing
exercising with an exercise ball
driving tractor
ice skating
recording music
washing dishes
catching or throwing frisbee
brushing hair
shaving head
windsurfing
feeding fish
pull ups
hammer throw
getting a haircut
extinguishing fire
blowing nose
side kick
cleaning shoes
jogging
applauding
snowboarding
tai chi
playing chess
pole vault
dining
bartending
blowing leaves
frying vegetables
snorkeling
playing ice hockey
playing controller
ironing
crossing river
washing feet
mopping floor
driving car
motorcycling
robot dancing
playing kickball
ice climbing
shooting basketball
sharpening pencil
breading or breadcrumbing
push up
slacklining
milking cow
doing nails
cracking neck
stomping grapes
curling hair
whistling
dancing gangnam style
cutting nails
shaking head
welding
picking fruit
crying
surfing water
massaging feet
carving pumpkin
sticking tongue out
parasailing
ice fishing
skiing slalom
rock scissors paper
yawning
making snowman
carrying baby
reading book
washing hair
playing cricket
braiding hair
deadlifting
riding or walking with horse
eating burger
getting a tattoo
spinning poi
tap dancing
hockey stop
riding elephant
playing accordion
playing monopoly
slapping
playing xylophone
playing recorder
cleaning toilet
skipping rope
long jump
bending metal
riding mechanical bull
making sushi
snowkiting
folding clothes
zumba
tossing coin
pushing car
water sliding
playing clarinet
news anchoring
playing ukulele
catching or throwing baseball
disc golfing
sign language interpreting
waxing legs
cleaning pool
cooking egg
playing trumpet
clapping
flipping pancake
dunking basketball
swimming butterfly stroke
building cabinet
riding a bike
paragliding
catching or throwing softball
shuffling cards
stretching arm
pushing cart
waxing eyebrows
presenting weather forecast
reading newspaper
eating doughnuts
belly dancing
making a sandwich
hitting baseball
beatboxing
stretching leg
playing tennis
jetskiing
eating carrots
surfing crowd
roller skating
eating ice cream
running on treadmill
riding unicycle
swinging on something
setting table
opening present
singing
juggling fire
sweeping floor
making jewelry
playing harmonica
applying cream
petting animal (not cat)
capoeira
drawing
finger snapping
sanding floor
playing paintball
kissing
eating chips
walking the dog
diving cliff
knitting
faceplanting
throwing axe
cleaning windows
fixing hair
chopping wood
swimming backstroke
auctioning
playing squash or racquetball
shooting goal (soccer)
trapezing
playing bagpipes
baking cookies
skiing crosscountry
arm wrestling
assembling computer
playing cello
bobsledding
dodgeball
sled dog racing
climbing a rope
pumping fist
grooming horse
eating watermelon
archery
laying bricks
kicking soccer ball
kicking field goal
trimming or shaving beard
abseiling
eating cake
scuba diving
riding camel
busking
jumping into pool
cooking on campfire
tickling
petting cat
cheerleading
hurdling
playing didgeridoo
hoverboarding
making tea
grinding meat
lunge
playing volleyball
